name,"Canada Heavy Equipment College, Cambridge",city,Cambridge,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Canadian College of Educators, Mississauga",city,Mississauga,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Canadian College of Health Science and Technology, Windsor",city,Windsor,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Canadian International College of Transportation and Technologies,city,Mississauga,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Canadian Rockies Regional Division No. 12,city,Canmore,province,Alberta,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,"Canadian School of Natural Nutrition, London",city,London,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Canadian School of Natural Nutrition, Ottawa",city,Ottawa,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Canadian School of Transportation Services,city,Caledon,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Canadian Vocational Training Centre,city,Prince George,province,British Columbia,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Canadian Working Divers Institute, Chapleau",city,Chapleau,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Can-Weld Training & Testing Centre, Sarnia",city,Sarnia,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Cestar College of Business, Health and Technology, Toronto (Yonge)",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Cestar College of Business, Health and Technology, Toronto (Yorkland)",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Chinook Helicopters (1982) Ltd.,city,Abbotsford,province,British Columbia,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Chinook School Division No. 211,city,Swift Current,province,Saskatchewan,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,Christ The Teacher R.C.S.S.D. No. 212,city,Yorkton,province,Saskatchewan,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,Citi College of Canadian Careers - Mississauga Campus,city,Mississauga,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"CITI College of Canadian Careers, Toronto/Lawrence Avenue East",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"CJ Health Care College, North York",city,North York,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"CJ Health Care College, Toronto/Neilson Road",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Clarkridge Career Institute, Brampton",city,Brampton,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Clarkridge Career Institute, Toronto",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Clearview School Division No. 71,city,Stettler,province,Alberta,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,Collège André-Grasset (1973) inc.,city,Montréal,province,Quebec,sector,Non-profit,education,college,status,Recognized
name,Collège Bart (1975) / Collège Radio Télévision de Québec,city,Québec,province,Quebec,sector,Non-profit,education,college,status,Recognized
name,Comox Valley SD#71,city,Courtenay,province,British Columbia,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,"Computek College of Business, Healthcare & Technology, Markham",city,Markham,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Computek College of Business, Healthcare & Technology, Toronto/Eglinton Avenue East",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Conbridge College of Business and Technology,city,North York,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Conseil des écoles fransaskoises No. 310,city,Regina,province,Saskatchewan,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,"Cornwall Aviation (1979) Ltd., Summerstown",city,Summerstown,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Creighton School Division No. 111,city,Creighton,province,Saskatchewan,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,"Crossroads Truck Training Academy, Barrie",city,Barrie,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Crossroads Truck Training Academy, Ottawa",city,Ottawa,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Crossroads Truck Training Academy, Smiths Falls",city,Smiths Falls,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Daytona Truck Driving & Forklift School,city,Mississauga,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,East Central Alberta Catholic Separate Schools Regional Division No. 16,city,Wainwright,province,Alberta,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,Ecole St-Joseph (1985) inc.,city,Montréal,province,Quebec,sector,Non-profit,education,elementary/secondary school,status,Authorized
name,Elite Truck Driving Academy,city,Mississauga,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Elk Island Catholic Separate Regional Division No. 41,city,Sherwood Park,province,Alberta,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,Elk Island Public Schools Regional Division No. 14,city,Sherwood Park,province,Alberta,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,"Evergreen College, Markham",city,Markham,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Ezone Academy (A division of Renaissance Salon), St. Catharines",city,St. Catharines,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Flair College of Management and Technology,city,Brampton,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Flair College of Management and Technology, Concord",city,Concord,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Fluffy Paws Grooming School,city,Richmond Hill,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Fort Nelson SD#81,city,Fort Nelson,province,British Columbia,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,"Gates College of Business, Culinary & Healthcare, Cobourg (formerly Asimco College of Business, Healthcare & Technology, Cobourg)",city,Cobourg,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Gates College of Business, Culinary & Healthcare, Peterborough",city,Peterborough,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Gates College of Business, Culinary & Healthcare, Sault Ste Marie (formerly Asimco College of Business, Healthcare & Technology, Sault Ste Marie)",city,Sault Ste. Marie,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Grade Learning, Finch West, Toronto",city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"Great Lakes Technical Training, Windsor",city,Windsor,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Great Truck Driving School,city,Toronto,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,"GREAT TRUCK DRIVING SCHOOL, St. Catharines",city,St. Catharines,province,Ontario,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,Greater Victoria SD#61,city,Victoria,province,British Columbia,sector,Public,education,elementary/secondary school board/district,status,Recognized
name,Greystone College of Business and Technology - Vancouver,city,Vancouver,province,British Columbia,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
name,H & Co. Academy Esthetics,city,Brandon,province,Manitoba,sector,For-profit,education,career colleges and vocational/technical schools,status,Registered
